name,iso,id,country,admin_level,category,range_type,range,population,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,population_share,population_interval,population_interval_share
Naogaon,,16705992B34203284467157,BGD,ADM2,education,DISTANCE,50000,2052932,633804,74.94,1246,0.15,74.95,3885,0.14
Rangpur,,16705992B34260815515495,BGD,ADM2,education,DISTANCE,5000,695692,239714,21.41,239714,21.41,21.48,695692,21.48
Rangpur,,16705992B34260815515495,BGD,ADM2,education,DISTANCE,10000,1514432,521920,46.62,282206,25.21,46.77,818740,25.28
Rangpur,,16705992B34260815515495,BGD,ADM2,education,DISTANCE,15000,2344984,808420,72.21,286500,25.59,72.42,830552,25.65
Rangpur,,16705992B34260815515495,BGD,ADM2,education,DISTANCE,20000,2765085,953710,85.19,145290,12.98,85.39,420101,12.97
Rangpur,,16705992B34260815515495,BGD,ADM2,education,DISTANCE,25000,3058680,1056499,94.37,102789,9.18,94.45,293595,9.07
Rangpur,,16705992B34260815515495,BGD,ADM2,education,DISTANCE,30000,3078891,1063695,95.02,7196,0.64,95.08,20211,0.62
Rangpur,,16705992B34260815515495,BGD,ADM2,education,DISTANCE,35000,3208256,1108421,99.01,44726,4.0,99.07,129365,3.99
Rangpur,,16705992B34260815515495,BGD,ADM2,education,DISTANCE,40000,3209155,1108763,99.04,342,0.03,99.1,899,0.03
Rangpur,,16705992B34260815515495,BGD,ADM2,education,DISTANCE,45000,3209351,1108831,99.05,68,0.01,99.11,196,0.01
Rangpur,,16705992B34260815515495,BGD,ADM2,education,DISTANCE,50000,3209603,1108917,99.06,86,0.01,99.12,252,0.01
Cox's Bazar,,16705992B34517682786426,BGD,ADM2,education,DISTANCE,5000,930493,430553,33.41,430553,33.41,33.41,930493,33.41
Cox's Bazar,,16705992B34517682786426,BGD,ADM2,education,DISTANCE,10000,1426869,660267,51.23,229714,17.82,51.23,496376,17.82
Cox's Bazar,,16705992B34517682786426,BGD,ADM2,education,DISTANCE,15000,1826013,844916,65.56,184649,14.33,65.55,399144,14.33
Cox's Bazar,,16705992B34517682786426,BGD,ADM2,education,DISTANCE,20000,2116210,979233,75.98,134317,10.42,75.97,290197,10.42
Cox's Bazar,,16705992B34517682786426,BGD,ADM2,education,DISTANCE,25000,2219703,1027012,79.69,47779,3.71,79.69,103493,3.72
Cox's Bazar,,16705992B34517682786426,BGD,ADM2,education,DISTANCE,30000,2326937,1076561,83.54,49549,3.84,83.54,107234,3.85
Cox's Bazar,,16705992B34517682786426,BGD,ADM2,education,DISTANCE,35000,2379966,1101106,85.44,24545,1.9,85.44,53029,1.9
Cox's Bazar,,16705992B34517682786426,BGD,ADM2,education,DISTANCE,40000,2388377,1104999,85.74,3893,0.3,85.74,8411,0.3
Cox's Bazar,,16705992B34517682786426,BGD,ADM2,education,DISTANCE,45000,2514356,1163263,90.26,58264,4.52,90.27,125979,4.52
Cox's Bazar,,16705992B34517682786426,BGD,ADM2,education,DISTANCE,50000,2612161,1208535,93.78,45272,3.51,93.78,97805,3.51
Khagrachhari,,16705992B35326431749719,BGD,ADM2,education,DISTANCE,5000,112445,44329,15.9,44329,15.9,15.89,112445,15.89
Khagrachhari,,16705992B35326431749719,BGD,ADM2,education,DISTANCE,10000,123814,48807,17.51,4478,1.61,17.5,11369,1.61
Khagrachhari,,16705992B35326431749719,BGD,ADM2,education,DISTANCE,15000,164726,64935,23.29,16128,5.79,23.28,40912,5.78
Khagrachhari,,16705992B35326431749719,BGD,ADM2,education,DISTANCE,20000,244888,96500,34.62,31565,11.32,34.61,80162,11.33
Khagrachhari,,16705992B35326431749719,BGD,ADM2,education,DISTANCE,25000,277500,109332,39.22,12832,4.6,39.21,32612,4.61
Khagrachhari,,16705992B35326431749719,BGD,ADM2,education,DISTANCE,30000,282467,111290,39.92,1958,0.7,39.92,4967,0.7
Khagrachhari,,16705992B35326431749719,BGD,ADM2,education,DISTANCE,35000,310054,122166,43.82,10876,3.9,43.81,27587,3.9
Khagrachhari,,16705992B35326431749719,BGD,ADM2,education,DISTANCE,40000,335464,132183,47.42,10017,3.59,47.41,25410,3.59
Khagrachhari,,16705992B35326431749719,BGD,ADM2,education,DISTANCE,45000,479627,188966,67.79,56783,20.37,67.78,144163,20.37
Khagrachhari,,16705992B35326431749719,BGD,ADM2,education,DISTANCE,50000,520361,205025,73.55,16059,5.76,73.53,40734,5.76
Rangamati,,16705992B35610473312733,BGD,ADM2,education,DISTANCE,5000,174563,65303,25.43,65303,25.43,25.42,174563,25.42
Rangamati,,16705992B35610473312733,BGD,ADM2,education,DISTANCE,10000,206174,77135,30.04,11832,4.61,30.02,31611,4.6
Rangamati,,16705992B35610473312733,BGD,ADM2,education,DISTANCE,15000,240673,90095,35.09,12960,5.05,35.04,34499,5.02
Rangamati,,16705992B35610473312733,BGD,ADM2,education,DISTANCE,20000,245563,91921,35.8,1826,0.71,35.75,4890,0.71
Rangamati,,16705992B35610473312733,BGD,ADM2,education,DISTANCE,25000,260760,97614,38.02,5693,2.22,37.97,15197,2.21
Rangamati,,16705992B35610473312733,BGD,ADM2,education,DISTANCE,30000,287404,107567,41.89,9953,3.88,41.85,26644,3.88
Rangamati,,16705992B35610473312733,BGD,ADM2,education,DISTANCE,35000,300145,112324,43.75,4757,1.85,43.7,12741,1.86
Rangamati,,16705992B35610473312733,BGD,ADM2,education,DISTANCE,40000,303897,113758,44.31,1434,0.56,44.25,3752,0.55
Rangamati,,16705992B35610473312733,BGD,ADM2,education,DISTANCE,45000,304597,114019,44.41,261,0.1,44.35,700,0.1
Rangamati,,16705992B35610473312733,BGD,ADM2,education,DISTANCE,50000,337529,126314,49.2,12295,4.79,49.14,32932,4.79
Bhola,,16705992B37732832620169,BGD,ADM2,education,DISTANCE,5000,985927,412231,52.79,412231,52.79,52.71,985927,52.71
Bhola,,16705992B37732832620169,BGD,ADM2,education,DISTANCE,10000,1113807,465669,59.63,53438,6.84,59.55,127880,6.84
Bhola,,16705992B37732832620169,BGD,ADM2,education,DISTANCE,15000,1150423,480980,61.59,15311,1.96,61.51,36616,1.96
Bhola,,16705992B37732832620169,BGD,ADM2,education,DISTANCE,20000,1346508,562950,72.09,81970,10.5,71.99,196085,10.48
Bhola,,16705992B37732832620169,BGD,ADM2,education,DISTANCE,25000,1405022,587414,75.22,24464,3.13,75.12,58514,3.13
Bhola,,16705992B37732832620169,BGD,ADM2,education,DISTANCE,30000,1413310,590879,75.66,3465,0.44,75.56,8288,0.44
Bhola,,16705992B37732832620169,BGD,ADM2,education,DISTANCE,35000,1428683,597307,76.49,6428,0.82,76.38,15373,0.82
Bhola,,16705992B37732832620169,BGD,ADM2,education,DISTANCE,40000,1429127,597493,76.51,186,0.02,76.41,444,0.02
Bhola,,16705992B37732832620169,BGD,ADM2,education,DISTANCE,45000,1431758,598593,76.65,1100,0.14,76.55,2631,0.14
Bhola,,16705992B37732832620169,BGD,ADM2,education,DISTANCE,50000,1432308,598823,76.68,230,0.03,76.58,550,0.03
Natore,,16705992B43065208682222,BGD,ADM2,education,DISTANCE,5000,380780,122161,20.39,122161,20.39,20.38,380780,20.38
